,Name,Address,Venue,Venue Latitude,Venue Longitude,Venue Category
0,Abbey Wood,"Abbey Wood, Greenwich",Bostal Gardens,51.4866697860935,0.11046211395875472,Playground
1,Abbey Wood,"Abbey Wood, Greenwich",Co-op Food,51.48764979256399,0.11348962783813477,Grocery Store
2,Abbey Wood,"Abbey Wood, Greenwich",tommysdriveways,51.4893857,0.1042733,Construction & Landscaping
3,Abbey Wood,"Abbey Wood, Greenwich",Meghna Tandoori,51.48570896839401,0.10168105270063958,Indian Restaurant
4,Acton,"Acton, Ealing",The Aeronaut,51.508376110041894,-0.27521591740071266,Pub
5,Acton,"Acton, Ealing",London Star Hotel,51.50962416586384,-0.27245615782550625,Hotel
6,Acton,"Acton, Ealing",Dragonfly Brewery at George & Dragon,51.507378230457675,-0.27170195787211743,Brewery
7,Acton,"Acton, Ealing",Tesco,51.508482812735764,-0.2812828101248371,Grocery Store
8,Acton,"Acton, Ealing",Amigo's Peri Peri,51.50839561577133,-0.27456148145523696,Fast Food Restaurant
9,Acton,"Acton, Ealing",PureGym,51.50832617268554,-0.2771498760294027,Gym / Fitness Center
10,Acton,"Acton, Ealing",Ting Tong Thai,51.508363,-0.277755,Thai Restaurant
11,Acton,"Acton, Ealing",The Talbot,51.506527483853986,-0.2735853453294046,Pub
12,Acton,"Acton, Ealing",Subway,51.50742399,-0.27182167,Sandwich Place
13,Acton,"Acton, Ealing",Persian Nights,51.50852877586289,-0.2823829650878906,Middle Eastern Restaurant
14,Acton,"Acton, Ealing",The Red Lion & Pineapple (Wetherspoon),51.508194468849005,-0.27639996629400126,Pub
15,Acton,"Acton, Ealing",The Chatsworth,51.508372830949625,-0.27645992245896583,Cocktail Bar
16,Acton,"Acton, Ealing",Twyford Avenue Sports Ground,51.50970401963339,-0.2799367904663086,Athletics & Sports
17,Acton,"Acton, Ealing",Frank's Cafe,51.508083,-0.2703,Café
18,Acton,"Acton, Ealing",Sam's Chicken,51.50719323477933,-0.2704310417175293,Fast Food Restaurant
19,Acton,"Acton, Ealing",Hasu,51.508167,-0.269494,Japanese Restaurant
20,Acton,"Acton, Ealing",Oaks Shopping Centre,51.507298856043654,-0.2698227244998494,Shopping Mall
21,Addington,"Addington, Croydon",McDermott's,51.35106319387014,-0.03817555854834322,Fish & Chips Shop
22,Addington,"Addington, Croydon",Addington Hills,51.361781955750864,-0.057415275330287376,Scenic Lookout
23,Addington,"Addington, Croydon",Selsdon Park Golf Club,51.33900025076351,-0.061663959364102815,Golf Course
24,Addington,"Addington, Croydon",The Valet Male Grooming,51.37968832252952,-0.07435943352244162,Cosmetics Shop
25,Addington,"Addington, Croydon",Waitrose & Partners,51.331954862050345,-0.07485570846961309,Supermarket
26,Addington,"Addington, Croydon",Lloyd Park,51.36388169526947,-0.07868766057474852,Park
27,Addington,"Addington, Croydon",Caffè Nero,51.376182623570045,-0.017538422074035977,Coffee Shop
28,Addington,"Addington, Croydon",BOXPARK Croydon,51.37503385473559,-0.09359773391568056,Food Court
29,Addington,"Addington, Croydon",Farleigh Fox Golf Club,51.33212953006185,-0.03379362276732617,Golf Course
30,Addington,"Addington, Croydon",The Ludoquist,51.37153038040552,-0.1003305710260288,Gaming Cafe
31,Addington,"Addington, Croydon",Crushed Bean,51.37099971734288,-0.10017598506483898,Coffee Shop
32,Addington,"Addington, Croydon",The Oval Tavern,51.37821703801175,-0.08757374051557965,Pub
33,Addington,"Addington, Croydon",Karnavar Restaurant,51.365488699667566,-0.09897044841981988,Indian Restaurant
34,Addington,"Addington, Croydon",The Tram Stop,51.380187656637844,-0.07337788601143598,Café
35,Addington,"Addington, Croydon",Scrumpchino's,51.37384678152949,-0.09859866699079116,Café
36,Addington,"Addington, Croydon",Holwood Farm,51.347445,0.043765,Coffee Shop
37,Addington,"Addington, Croydon",Miller & Carter,51.38346421925658,0.0025811885854893136,Steakhouse
38,Addington,"Addington, Croydon",Aqua Bar & Grill,51.36672805229652,-0.09894737644928685,Mediterranean Restaurant
39,Addington,"Addington, Croydon",The Gold Coast Bar & Restaurant,51.39177138157308,-0.06633652235879549,African Restaurant
40,Addington,"Addington, Croydon",Matthews Yard,51.37230273101925,-0.10126906985158975,Coffee Shop
41,Addington,"Addington, Croydon",David Lloyd Beckenham,51.39416286183639,-0.03709063358505084,Gym / Fitness Center
42,Addington,"Addington, Croydon",The White Bear,51.32516703560934,-0.006963114615167868,Pub
43,Addington,"Addington, Croydon",Little Bay,51.36221284124898,-0.09611178562925375,Eastern European Restaurant
44,Addington,"Addington, Croydon",Nando's,51.37280263847501,-0.10018278159571932,Portuguese Restaurant
45,Addington,"Addington, Croydon",Forbidden Planet,51.373321857688026,-0.10266473896997093,Bookstore
46,Addington,"Addington, Croydon",Coqfighter Chicken & Beer,51.37504365206947,-0.0935912005731379,Korean Restaurant
47,Addington,"Addington, Croydon",Park Hill,51.370400643177504,-0.09166717529296875,Park
48,Addington,"Addington, Croydon",Bao Bao,51.37498173152558,-0.09357690811157227,Asian Restaurant
49,Addington,"Addington, Croydon",Uncle Lim's Malaysian Kitchen,51.37521540025681,-0.10045385615353232,Malay Restaurant
50,Addington,"Addington, Croydon",Chilango,51.37489537450802,-0.09358763727531678,Burrito Place
51,Addington,"Addington, Croydon",Dog & Bull,51.373081096937405,-0.10148720048776085,Pub
52,Addington,"Addington, Croydon",The Gym,51.373910527090445,-0.09666983824066672,Gym / Fitness Center
53,Addington,"Addington, Croydon",Brgr&Beer,51.372336275901574,-0.1011514663696289,Burger Joint
54,Addington,"Addington, Croydon",Dragon Quest Adventure Golf,51.3911102535584,-0.05577566513000351,Mini Golf
55,Addington,"Addington, Croydon",Woldingham Golf Course,51.300189397381885,-0.051856364417972145,Golf Course
56,Addington,"Addington, Croydon",Marks & Spencer,51.37742262770705,-0.10201474754521415,Clothing Store
57,Addington,"Addington, Croydon",Preto,51.3724719646455,-0.10015847665116956,Brazilian Restaurant
58,Addington,"Addington, Croydon",UNIQLO,51.375919324675635,-0.10196685791015625,Clothing Store
59,Addington,"Addington, Croydon",Apatura,51.36675953865051,-0.098993,Mediterranean Restaurant
60,Addington,"Addington, Croydon",Galicia,51.36845757906705,-0.09927934900298166,Spanish Restaurant
61,Addington,"Addington, Croydon",Five Guys,51.37334926905838,-0.10018721222877502,Burger Joint
62,Addington,"Addington, Croydon",Afters,51.36560809311127,-0.09913980960845946,Ice Cream Shop
63,Addington,"Addington, Croydon",Anabella's Kitchen,51.3679313659668,-0.09913444519042969,Mediterranean Restaurant
64,Addington,"Addington, Croydon",Costa Coffee,51.37688807055742,-0.10194458376900135,Coffee Shop
65,Addington,"Addington, Croydon",The Breakfast Club,51.37475530606113,-0.09410865345151727,Breakfast Spot
